year,month,city,region,category,cpi
1939,Nov,San Francisco,West,All Items,
1939,Dec,San Francisco,West,All Items,12.6
1940,Jan,San Francisco,West,All Items,
1940,Feb,San Francisco,West,All Items,
1940,Mar,San Francisco,West,All Items,12.6
1940,Apr,San Francisco,West,All Items,
1940,May,San Francisco,West,All Items,
1940,Jun,San Francisco,West,All Items,12.6
1940,Jul,San Francisco,West,All Items,
1940,Aug,San Francisco,West,All Items,
1940,Sep,San Francisco,West,All Items,12.7
1940,Oct,San Francisco,West,All Items,12.8
1940,Nov,San Francisco,West,All Items,12.8
1940,Dec,San Francisco,West,All Items,12.8
1941,Jan,San Francisco,West,All Items,12.8
1941,Feb,San Francisco,West,All Items,12.9
1941,Mar,San Francisco,West,All Items,12.9
1941,Apr,San Francisco,West,All Items,13.1
1941,May,San Francisco,West,All Items,13.1
1941,Jun,San Francisco,West,All Items,13.3
1941,Jul,San Francisco,West,All Items,13.3
1941,Aug,San Francisco,West,All Items,13.4
1941,Sep,San Francisco,West,All Items,13.6
1941,Oct,San Francisco,West,All Items,13.8
1941,Nov,San Francisco,West,All Items,14.0
1941,Dec,San Francisco,West,All Items,14.0
1942,Jan,San Francisco,West,All Items,14.3
1942,Feb,San Francisco,West,All Items,14.4
1942,Mar,San Francisco,West,All Items,14.6
1942,Apr,San Francisco,West,All Items,14.8
1942,May,San Francisco,West,All Items,14.8
1942,Jun,San Francisco,West,All Items,14.9
1942,Jul,San Francisco,West,All Items,14.9
1942,Aug,San Francisco,West,All Items,15.1
1942,Sep,San Francisco,West,All Items,15.2
1942,Oct,San Francisco,West,All Items,15.3
1942,Nov,San Francisco,West,All Items,15.6
1942,Dec,San Francisco,West,All Items,15.6
1943,Jan,San Francisco,West,All Items,15.7
1943,Feb,San Francisco,West,All Items,15.7
1943,Mar,San Francisco,West,All Items,15.9
1943,Apr,San Francisco,West,All Items,16.2
1943,May,San Francisco,West,All Items,16.2
1943,Jun,San Francisco,West,All Items,16.2
1943,Jul,San Francisco,West,All Items,15.8
1943,Aug,San Francisco,West,All Items,15.7
