year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage,state
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,California
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Alaska
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Hawaii
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Montana
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Idaho
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Wyoming
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Colorado
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,New Mexico
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Arizona
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Utah
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Nevada
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Washington
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Oregon
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,California
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Alaska
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308,250.00616666666667,47325.74,Hawaii
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Montana
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Idaho
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Wyoming
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Colorado
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,New Mexico
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Arizona
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Utah
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Nevada
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Washington
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Oregon
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,California
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Alaska
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0,250.00616666666667,46936.63,Hawaii
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Montana
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Idaho
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Wyoming
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Colorado
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,New Mexico
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Arizona
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Utah
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Nevada
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Washington
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Oregon
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,California
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Alaska
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,,250.00616666666667,,Hawaii
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Montana
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Idaho
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Wyoming
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Colorado
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,New Mexico
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Arizona
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Utah
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Nevada
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Washington
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,Oregon
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692,250.00616666666667,47419.68,California
